Spring 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Generated 5/5/2023, 2:12:22 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Term,Term Code,Department Code,Subject Code,Catalog Number,Course,Section #,Course Title,Section Type,Title/Topic,Meeting Pattern,Meetings,Instructor,Room,Status,Session,Campus,Inst. Method,Integ. Partner,Schedule Print,Consent,Credit Hrs Min,Credit Hrs,Grade Mode,Attributes,Course Attributes,Room Attributes,Enrollment,Maximum Enrollment,Prior Enrollment,Projected Enrollment,Wait Cap,Rm Cap Request,Cross-listings,Cross-list Maximum,Cross-list Projected,Cross-list Wait Cap,Cross-list Rm Cap Request,Link To,Comments,Notes#1,Notes#2
,Spring 2023,1231,UNO-CIVE,CIVE,829,CIVE 829,820,BIOLOGICAL WASTE TREATMENT,Lecture,,MW 3pm-4:15pm,MW 3pm-4:15pm,"Li, Xu (41977373) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 829-001,10,,0,10,,,,
CIVE 834 - SOIL MECHANICS II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,834,CIVE 834,1,SOIL MECHANICS II,Lecture,,MW 12pm-1:15pm,MW 12pm-1:15pm,"Eun, Jongwan (15497201) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,6,10,,,0,10,See CIVE 434-001,35,,0,35,,"DONE, AMJ - PKI 160",,
,Spring 2023,1231,UNO-CIVE,CIVE,834,CIVE 834,820,SOIL MECHANICS II,Lecture,,MW 12pm-1:15pm,MW 12pm-1:15pm,"Eun, Jongwan (15497201) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 434-001,35,,0,35,,,,
CIVE 839 - INTRODUCTION TO BRIDGE ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,839,CIVE 839,1,INTRODUCTION TO BRIDGE ENGINEERING,Lecture,,MW 10:30am-11:45am,MW 10:30am-11:45am,"Steelman, Joshua (15779599) [Primary Instructor, Post, Print]",Peter Kiewit Institute 161,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,3,10,,,0,10,Also CIVE 839-820,10,,0,10,,"DONE, AMJ - PKI 108",,
,Spring 2023,1231,UNO-CIVE,CIVE,839,CIVE 839,820,INTRODUCTION TO BRIDGE ENGINEERING,Lecture,,MW 10:30am-11:45am,MW 10:30am-11:45am,"Steelman, Joshua (15779599) [Primary Instructor, Post, Print]",Peter Kiewit Institute 161,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 839-001,10,,0,10,,,,
CIVE 847 - REINFORCED CONCRETE II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,847,CIVE 847,1,REINFORCED CONCRETE II,Lecture,,MW 3pm-4:15pm,MW 3pm-4:15pm,"Morcous, George (73182764) [Primary Instructor, Post, Print]",Peter Kiewit Institute 164,Active,Regular Academic Session,UNO Engineering,Distance Education,,Yes,No Special Consent Required,3,3,Graded,,,,8,15,,,0,15,See CIVE 447-820,25,,99,25,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,847,CIVE 847,820,REINFORCED CONCRETE II,Lecture,,MW 3pm-4:15pm,MW 3pm-4:15pm,"Morcous, George (73182764) [Primary Instructor, Post, Print]",Peter Kiewit Institute 164,Active,Regular Academic Session,UNO Engineering,Distance Education,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 447-820,25,,99,25,,,,
CIVE 849 - INTRODUCTORY FINITE ELEMENT ANALYSIS IN SOLID MECHANICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,849,CIVE 849,1,INTRODUCTORY FINITE ELEMENT ANALYSIS IN SOLID MECHANICS,Lecture,,TR 9am-10:15am,TR 9am-10:15am,"Tuan, Christopher (93567104) [Primary Instructor, Post, Print]",Peter Kiewit Institute 108,Active,Regular Academic Session,UNO Engineering,Distance Education,,Yes,No Special Consent Required,3,3,Graded,,,,2,5,,,0,5,See CIVE 849-820,5,,0,5,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,849,CIVE 849,820,INTRODUCTORY FINITE ELEMENT ANALYSIS IN SOLID MECHANICS,Lecture,,TR 9am-10:15am,TR 9am-10:15am,"Tuan, Christopher (93567104) [Primary Instructor, Post, Print]",Peter Kiewit Institute 108,Active,Regular Academic Session,UNO Engineering,Distance Education,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,Also CIVE 849-001,5,,0,5,,,,
CIVE 854 - HYDRAULIC ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,854,CIVE 854,1,HYDRAULIC ENGINEERING,Lecture,,MW 4:30pm-5:45pm,MW 4:30pm-5:45pm,"Admiraal, David (90239955) [Primary Instructor, Post, Print]",Peter Kiewit Institute 164,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,0,10,,,0,10,See CIVE 454-001,35,,0,35,,"DONE, AMJ - PKI 164",,
,Spring 2023,1231,UNO-CIVE,CIVE,854,CIVE 854,820,HYDRAULIC ENGINEERING,Lecture,,MW 4:30pm-5:45pm,MW 4:30pm-5:45pm,"Admiraal, David (90239955) [Primary Instructor, Post, Print]",Peter Kiewit Institute 164,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 454-001,35,,0,35,,PKI 164,,
CIVE 859 - RELIABILITY OF STRUCTURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,859,CIVE 859,1,RELIABILITY OF STRUCTURES,Lecture,,TR 10:30am-11:45am,TR 10:30am-11:45am,"Roohi Ghareshiran, Milad (71975676) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,5,20,,,0,20,See CIVE 459-001,40,,0,40,,"DONE, AMJ - PKI 160",,
,Spring 2023,1231,UNO-CIVE,CIVE,859,CIVE 859,820,RELIABILITY OF STRUCTURES,Lecture,,TR 10:30am-11:45am,TR 10:30am-11:45am,"Roohi Ghareshiran, Milad (71975676) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 459-001,40,,0,40,,"DONE, AMJ - PKI 160",,
CIVE 863 - TRAFFIC ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,863,CIVE 863,1,TRAFFIC ENGINEERING,Lecture,,MW 10:30am-11:45am,MW 10:30am-11:45am,"Yates, Austin (26823832) [Primary Instructor, Post, Print]; Moussavi, Massoum (80060047) [Secondary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,Distance Education,,Yes,No Special Consent Required,3,3,Graded,,,,1,20,,,0,20,See CIVE 463-820,50,,0,50,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,863,CIVE 863,820,TRAFFIC ENGINEERING,Lecture,,MW 10:30am-11:45am,MW 10:30am-11:45am,"Yates, Austin (26823832) [Primary Instructor, Post, Print]; Moussavi, Massoum (80060047) [Secondary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,Distance Education,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 463-820,50,,0,50,,,Taught by closed circuit TV and discussion.,
CIVE 864 - ANALYSIS AND ESTIMATION OF TRANSPORTATION DEMAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,864,CIVE 864,1,ANALYSIS AND ESTIMATION OF TRANSPORTATION DEMAND,Lecture,,TR 1:30pm-2:45pm,TR 1:30pm-2:45pm,"Hawkins, Jason (41291179) [Primary Instructor, Post, Print]",Peter Kiewit Institute 161,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,0,20,,,0,20,Also CIVE 864-820,20,,0,20,,"DONE, AMJ - PKI 161",,
,Spring 2023,1231,UNO-CIVE,CIVE,864,CIVE 864,820,ANALYSIS AND ESTIMATION OF TRANSPORTATION DEMAND,Lecture,,TR 1:30pm-2:45pm,TR 1:30pm-2:45pm,"Hawkins, Jason (41291179) [Primary Instructor, Post, Print]",Peter Kiewit Institute 161,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 864-001,20,,0,20,,"DONE, AMJ - PKI 161",,
CIVE 872 - PAVEMENT DESIGN AND EVALUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,872,CIVE 872,1,PAVEMENT DESIGN AND EVALUATION,Lecture,,TR 12pm-1:15pm,TR 12pm-1:15pm,"Sudo Lutif Teixeira, Jamilla (92959492) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,1,10,,,0,30,See CIVE 472-001,30,,0,30,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,872,CIVE 872,820,PAVEMENT DESIGN AND EVALUATION,Lecture,,TR 12pm-1:15pm,TR 12pm-1:15pm,"Sudo Lutif Teixeira, Jamilla (92959492) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 472-001,30,,0,30,,,,
CIVE 891 - SPECIAL TOPICS IN CIVIL ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,1,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,GROUNDWATER MODELING,TR 9am-10:15am,TR 9am-10:15am,"Haacker, Erin (55332335) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,,,,2,10,,,0,10,See CIVE 491-001,40,,0,40,,"DONE, AMJ - Groundwater Modeling - PKI 160",,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,2,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,GEOTECHNICAL SITE ASSESSMENT,MW 1:30pm-2:45pm,MW 1:30pm-2:45pm,"Williamson, Matthew (60269414) [Primary Instructor, Post, Print]",Peter Kiewit Institute 164,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,,,,0,10,,,0,10,See CIVE 491-002,40,,0,40,,"DONE, AMJ - Geotechnical Site Assessment - PKI 164",Field demonstrations will be held on two Saturdays during the semester (specific dates to be determined) and attendance will be required,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,3,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,INFRASTRUCTURE ASSESSMENT TECH,MW 9am-10:15am,MW 9am-10:15am,"Wittich, Christine (22790956) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,,,,2,20,,,0,20,Also CIVE 891-823,20,,0,20,,"DONE, AMJ - Infrastructure Assessment Tech - PKI 160",,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,4,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,DRINKING WATER PATHOGENS,TR 10:30am-11:45am,TR 10:30am-11:45am,"Mena Aguilar, Didier (36693987) [Primary Instructor, Post, Print]",Peter Kiewit Institute 164,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,,,,2,20,,,0,20,Also CIVE 891-824,20,,0,20,,"DONE, AMJ - Drinking Water Pathogens - PKI 160",,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,5,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,SENSORS IN GEOTECH ENGINEERING,TR 10:30am-11:45am,TR 10:30am-11:45am,"Song, Chung (60760875) [Primary Instructor, Post, Print]",Peter Kiewit Institute 108,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,,,,4,10,,,0,10,Also CIVE 891-825,0,,0,0,,"DONE, AMJ - Large Strain - PKI 108",,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,7,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,BIOREMEDIATION HAZARDOUS WASTE,MW 9am-10:15am,MW 9am-10:15am,"Zhang, Tian (51761834) [Primary Instructor, Post, Print]",Peter Kiewit Institute 164,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,,,,0,10,,,0,10,"Also CIVE 432-001, CIVE 432-820, CIVE 891-827",40,,0,40,,"DONE, AMJ - Bioremediation of Hazardous Waste - PKI 160",,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,8,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,INFRASTRUCTURE MAT DISTRESSES,TR 1:30pm-2:45pm,TR 1:30pm-2:45pm,"Lange, David (69379779) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,,,,5,20,,,0,20,Also CIVE 891-828,20,,0,20,,"DONE, AMJ - Infrastructure Mat Distresses - PKI 160",,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,9,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,TRANSPORTATION,TR 4:30pm-5:45pm,TR 4:30pm-5:45pm,"Staff [Primary Instructor, Post, Print]",Peter Kiewit Institute 108,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,,,,0,5,,,0,5,Also CIVE 891-829,5,,0,5,,"DONE, AMJ - Transportation - PKI 108",,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,821,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,GROUNDWATER MODELING,TR 9am-10:15am,TR 9am-10:15am,"Haacker, Erin (55332335) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 491-001,40,,0,40,,"DONE, AMJ - Groundwater Modeling - PKI 160",,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,822,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,GEOTECHNICAL SITE ASSESSMENT,MW 1:30pm-2:45pm,MW 1:30pm-2:45pm,"Williamson, Matthew (60269414) [Primary Instructor, Post, Print]",Peter Kiewit Institute 164,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 491-002,40,,0,40,,"DONE, AMJ - Geotechnical Site Assessment - PKI 164",Field demonstrations will be held on two Saturdays during the semester (specific dates to be determined) and attendance will be required,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,823,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,INFRASTRUCTURE ASSESSMENT TECH,MW 9am-10:15am,MW 9am-10:15am,"Wittich, Christine (22790956) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 891-003,20,,0,20,,Infrastructure Assessment Tech - PKI 160,,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,824,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,DRINKING WATER PATHOGENS,TR 10:30am-11:45am,TR 10:30am-11:45am,"Mena Aguilar, Didier (36693987) [Primary Instructor, Post, Print]",Peter Kiewit Institute 164,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 891-004,20,,0,20,,Drinking Water Pathogens - PKI 160,,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,825,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,SENSORS IN GEOTECH ENGINEERING,TR 10:30am-11:45am,TR 10:30am-11:45am,"Song, Chung (60760875) [Primary Instructor, Post, Print]",Peter Kiewit Institute 108,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 891-005,0,,0,0,,Large Strain - PKI 108,,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,827,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,BIOREMEDIATION HAZARDOUS WASTE,MW 9am-10:15am,MW 9am-10:15am,"Zhang, Tian (51761834) [Primary Instructor, Post, Print]",Peter Kiewit Institute 164,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 891-007,40,,0,40,,Bioremediation of Hazardous Waste - PKI 160,,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,828,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,INFRASTRUCTURE MAT DISTRESSES,TR 1:30pm-2:45pm,TR 1:30pm-2:45pm,"Lange, David (69379779) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 891-008,20,,0,20,,Infrastructure Mat Distresses - PKI 160,,
,Spring 2023,1231,UNO-CIVE,CIVE,891,CIVE 891,829,SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,TRANSPORTATION,TR 4:30pm-5:45pm,TR 4:30pm-5:45pm,"Staff [Primary Instructor, Post, Print]",Peter Kiewit Institute 108,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 891-009,5,,0,5,,Transportation - PKI 108,,
CIVE 990M - CIVIL ENGINEERING SEMINAR IN GEOTECHNICAL AND MATERIALS ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,990M,CIVE 990M,1,CIVIL ENGINEERING SEMINAR IN GEOTECHNICAL AND MATERIALS ENGINEERING,Seminar,,F 9am-10am,F 9am-10am,"Eun, Jongwan (15497201) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,,,,11,20,,,0,20,Also CIVE 990M-820,20,,0,20,,"DONE, AMJ - PKI 160",,
,Spring 2023,1231,UNO-CIVE,CIVE,990M,CIVE 990M,820,CIVIL ENGINEERING SEMINAR IN GEOTECHNICAL AND MATERIALS ENGINEERING,Seminar,,F 9am-10am,F 9am-10am,"Eun, Jongwan (15497201) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 990M-001,20,,0,20,,"DONE, AMJ - PKI 160",,
CIVE 991 - ADVANCED SPECIAL TOPICS IN CIVIL ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,991,CIVE 991,1,ADVANCED SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,SEISMIC DESIGN,TR 3pm-4:15pm,TR 3pm-4:15pm,"Sim, Chungwook (02182184) [Primary Instructor, Post, Print]",Peter Kiewit Institute 161,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,,,,1,10,,,0,10,Also CIVE 991-820,10,,0,10,,"DONE, AMJ - Seismic - PKI 108",,
,Spring 2023,1231,UNO-CIVE,CIVE,991,CIVE 991,820,ADVANCED SPECIAL TOPICS IN CIVIL ENGINEERING,Lecture,SEISMIC DESIGN,TR 3pm-4:15pm,TR 3pm-4:15pm,"Sim, Chungwook (02182184) [Primary Instructor, Post, Print]",Peter Kiewit Institute 161,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,1,6,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 991-001,10,,0,10,,Seismic - PKI 108,,
CNST 112 - CONSTRUCTION COMMUNICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CNST,112,CNST 112,1,CONSTRUCTION COMMUNICATIONS,Lecture,,MW 9am-10:15am,MW 9am-10:15am,"Kim, Kyungki (19821020) [Primary Instructor, Post, Print]",Peter Kiewit Institute 248,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,48,48,,,0,48,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CNST,112,CNST 112,2,CONSTRUCTION COMMUNICATIONS,Laboratory,,M 10:30am-11:45am,M 10:30am-11:45am,"Kim, Kyungki (19821020) [Primary Instructor, Post, Print]",Peter Kiewit Institute 248,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,48,48,,,0,48,,,,,,Any,,,
CNST 225 - INTRODUCTION TO BUILDING INFORMATION MODELING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CNST,225,CNST 225,1,INTRODUCTION TO BUILDING INFORMATION MODELING,Lecture,,TR 12pm-1:15pm,TR 12pm-1:15pm,"Kim, Kyungki (19821020) [Primary Instructor, Post, Print]",Peter Kiewit Institute 248,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,28,40,,,99,40,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CNST,225,CNST 225,2,INTRODUCTION TO BUILDING INFORMATION MODELING,Laboratory,,F 12:45pm-3:15pm,F 12:45pm-3:15pm,"Kim, Kyungki (19821020) [Primary Instructor, Post, Print]",Peter Kiewit Institute 248,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,17,40,,,0,40,,,,,,Any,,,
,Spring 2023,1231,UNO-CONSYS,CNST,225,CNST 225,3,INTRODUCTION TO BUILDING INFORMATION MODELING,Laboratory,,F 3:20pm-5:55pm,F 3:20pm-5:55pm,"Kim, Kyungki (19821020) [Primary Instructor, Post, Print]",Peter Kiewit Institute 248,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,11,40,,,0,40,,,,,,Any,,,
CNST 242 - VERTICAL CONSTRUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CNST,242,CNST 242,1,VERTICAL CONSTRUCTION,Lecture,,TR 9am-10:15am,TR 9am-10:15am,"Schwer, Avery (16707969) [Primary Instructor, Post, Print]",Peter Kiewit Institute 256,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,35,40,,,99,40,,,,,,,,,
CNST 305 - BUILDING ENVIRONMENTAL TECHNICAL SYSTEMS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CNST,305,CNST 305,1,BUILDING ENVIRONMENTAL TECHNICAL SYSTEMS I,Lecture,,MW 1:30pm-2:45pm,MW 1:30pm-2:45pm,"Liu, Xiaoqi (81973916) [Primary Instructor, Post, Print]",Peter Kiewit Institute 263,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,Experiential Learning: Includes Experiential Learning Component,,,24,40,,,99,40,,,,,,,,,
CNST 332 - STRUCTURAL OPTIMIZATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CNST,332,CNST 332,1,STRUCTURAL OPTIMIZATION,Lecture,,MW 9am-10:15am,MW 9am-10:15am,"Ebrahim, Zina (88183396) [Primary Instructor, Post, Print]",Peter Kiewit Institute 153,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,32,40,,,0,40,,,,,,,,,
CNST 379 - CONSTRUCTION ESTIMATING II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CNST,379,CNST 379,1,CONSTRUCTION ESTIMATING II,Lecture,,TR 10:30am-11:45am,TR 10:30am-11:45am,"Kreiling, Brandon (22589986) [Primary Instructor, Post, Print]",Peter Kiewit Institute 256,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,26,30,,,99,40,,,,,,,,,
CNST 411 - PROJECT ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CNST,411,CNST 411,1,PROJECT ADMINISTRATION,Lecture,,R 6pm-8:40pm,R 6pm-8:40pm,"Hoodjer, John (20353042) [Primary Instructor, Post, Print]",Peter Kiewit Institute 160,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,19,30,,,0,30,,,,,,,,,
CNST 415 - MECHANICAL/ELECTRICAL PROJECT MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CNST,415,CNST 415,1,MECHANICAL/ELECTRICAL PROJECT MANAGEMENT,Lecture,,MW 12pm-1:15pm,MW 12pm-1:15pm,"Reddi, Vishnu (97543175) [Primary Instructor, Post, Print]",Peter Kiewit Institute 108,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,0,15,,,0,15,"Also CNST 415-820, CNST 815-001, CNST 815-820",20,,0,20,,,,
